[[[[0.8023179828089029]], [[0.7375934692302328]], [[-0.5113139765413754]], [[-0.7134251638629663]], [[0.7894493594660081]], [[0.10091778450556332]], [[-0.595366678117933]], [[0.9298774267046062]], [[-0.7290670775287882]], [[-0.8990561456602604]]]]
[[[[-0.642387539872209]], [[0.3424749783828349]], [[-0.44931212284997146]], [[-0.9366877044299198]], [[0.1438041569984485]], [[0.8684618160263404]], [[0.13454065960392048]], [[0.9769321033397849]], [[-0.41897240662977486]], [[0.2662396364883175]]]]
[[[[-0.39096376588043635]], [[0.554949453434515]], [[0.1418978103805837]], [[-0.19052448651160314]], [[-0.9844299232082212]], [[-0.9024279955934555]], [[-0.8520628215406436]], [[-0.2679794893774041]], [[0.2307315545927653]], [[-0.4371654788410635]]]]
[[[[0.8614490726830022]], [[0.24830443000303726]], [[-0.7675604063920147]], [[0.3386567073707527]], [[0.3397079556203977]], [[-0.6162510505717145]], [[-0.0947949280593896]], [[-0.3726491578586477]], [[0.57003829222534]], [[0.9203883931569827]]]]
[[[[0.2988184624475021]], [[0.7567834323510858]], [[0.8837101854836098]], [[-0.8440348376334805]], [[-0.48039235325907303]], [[0.29966483645738373]], [[0.45262285482683606]], [[0.029932669835600834]], [[-0.46898811427862674]], [[0.5698041855203697]]]]
[[[[-0.9861759132250605]], [[-0.35031343432817486]], [[0.0002571845064374134]], [[-0.2770025217154095]], [[-0.5064408840373411]], [[0.9112826982608393]], [[0.4853577286756814]], [[-0.15773870918964583]], [[0.8478140182482472]], [[-0.706137395804258]]]]
[[[[0.25040862804397324]], [[0.7900045979449375]], [[-0.7164048771174578]], [[0.8092551833695696]], [[0.35826659914167447]], [[0.012053348159714705]], [[0.2966586979729253]], [[-0.612981666859677]], [[0.16605059299062108]], [[-0.18477182523210534]]]]
[[[[-0.4829331564283834]], [[-0.8241739900221718]], [[0.8707993202355595]], [[0.33213279038367616]], [[-0.9888617686539924]], [[-0.8060889674517311]], [[-0.42919393885009427]], [[-0.20264651962693114]], [[0.09471684575895334]], [[-0.9228643387785167]]]]
[[[[-0.7966399494732774]], [[0.1338736302136878]], [[0.45336071398047606]], [[0.7388150105078513]], [[-0.22207979460452187]], [[-0.8299081952310832]], [[0.6500782301563004]], [[-0.9040434794758228]], [[-0.8431228897386791]], [[-0.3849915909467534]]]]
[[[[-0.8196314379259475]], [[0.2934452851446454]], [[0.5927659205445566]], [[0.21290751049905632]], [[0.43537612695995764]], [[-0.7972439238207234]], [[0.78732513611801]], [[-0.7031691098315684]], [[0.713787806705489]], [[-0.5074531148863679]]]]
[[[[0.574766950545007]], [[0.8853196105016319]], [[-0.08918621866155152]], [[0.6929949552464119]], [[0.5948844130433892]], [[0.38701102360344564]], [[-0.9548099221099982]], [[0.0026167635873368678]], [[-0.6984761707298157]], [[0.5899489193933694]]]]
[[[[0.20970996356185823]], [[-0.05869694229478695]], [[0.6183886029854557]], [[0.44545623385923605]], [[0.7347704969492563]], [[-0.8780763569604575]], [[0.8134950774311396]], [[-0.8229914627550996]], [[-0.13851618878840144]], [[-0.3454495096111474]]]]
[[[[-0.7225942742033322]], [[-0.5581118742035818]], [[0.9000447885829941]], [[0.6169570725638329]], [[0.6756733195420623]], [[-0.48083964746440233]], [[-0.5594095989887855]], [[0.9055298006121044]], [[0.6955187449154865]], [[0.5951140655511229]]]]
[[[[-0.9861272022475283]], [[0.6726610808603108]], [[-0.32066573803608756]], [[-0.7407053390042966]], [[0.24831786982722615]], [[-0.07177200939792283]], [[0.6511913782340422]], [[0.97421330489293]], [[0.18364805298103049]], [[0.14269479389226958]]]]
[[[[0.375179145288806]], [[0.09870129473759137]], [[-0.9283704831515565]], [[-0.3512397341780511]], [[-0.2655370194216984]], [[0.46088270369128126]], [[0.3347265496181009]], [[0.5738832416776112]], [[-0.5749206647673892]], [[-0.27721879698813523]]]]
[[[[0.9094762169450352]], [[-0.7180739412011616]], [[-0.8165214769435751]], [[0.33456587296977713]], [[0.8622797470042407]], [[0.29568328321235215]], [[0.41568100296716426]], [[-0.9486780475310332]], [[0.749314784845942]], [[0.35581345700980016]]]]
[[[[-0.04973599708293186]], [[-0.2190203661899368]], [[0.3316381937620654]], [[-0.7473577535498448]], [[0.8609350530116058]], [[-0.04317774832061971]], [[0.3783969291089575]], [[0.9612460617515788]], [[-0.39255918649687316]], [[-0.7893572860141693]]]]
[[[[0.18850788589296275]], [[0.13720505210064493]], [[0.4335520531154251]], [[-0.030160962812968872]], [[-0.8266255734636574]], [[0.8184113144369376]], [[0.07736277769276478]], [[0.17594408656761762]], [[-0.2754891572919962]], [[-0.48694412868873416]]]]
[[[[-0.4581296645622792]], [[0.7817306232886696]], [[-0.944736162628312]], [[0.19697782354137772]], [[-0.843235559526073]], [[-0.7750552816137095]], [[0.5945409444711935]], [[-0.6535635998161633]], [[0.6190039299527939]], [[0.7456523181237051]]]]
[[[[0.5703402333627414]], [[0.06623304883872239]], [[0.1595679615719463]], [[-0.2290346809375261]], [[-0.8717729785236354]], [[0.4674672732668377]], [[-0.3471856505491857]], [[0.2936088631647533]], [[0.7224357021868608]], [[-0.02427041653851436]]]]
[[[[0.6117890656063012]], [[0.9636460872822532]], [[0.1026587347477923]], [[-0.21110660290114058]], [[-0.3483809014793844]], [[0.8071912706221243]], [[0.3468125635581081]], [[0.5360733720852644]], [[0.6590506083524637]], [[0.288497250411923]]]]
