[[[[-0.5377645439616368]], [[-0.9795979412643032]], [[-0.6961046462462683]], [[-0.8698737211006264]], [[-0.5568218409492243]], [[-0.5692985572992701]], [[-0.5598178390052833]], [[-0.45378102245201424]], [[-0.7872893516185826]], [[-0.5890056100606975]]]]
[[[[0.6871044910328372]], [[0.48396502192775337]], [[0.5203611054244064]], [[-0.32588510657222813]], [[0.71680208005013]], [[0.6340157689354216]], [[0.6508813760474559]], [[-0.12084880933638642]], [[0.15076413127410415]], [[-0.21320716076695012]]]]
[[[[-0.047131101981860324]], [[-0.6741340674484941]], [[0.3423806860022647]], [[0.9925971036989729]], [[0.7066844257926335]], [[-0.9880385642890146]], [[0.7081955419617112]], [[0.4355337568126967]], [[0.4128581863032099]], [[0.7559494656423307]]]]
[[[[0.19672483462130508]], [[-0.31194294733609573]], [[0.8581410969732617]], [[-0.384301188794244]], [[0.9210491816661703]], [[-0.9742837372174187]], [[0.453211949445262]], [[-0.022618222934607024]], [[-0.30134864205569145]], [[-0.21018949341699478]]]]
[[[[-0.24370300077636298]], [[0.842297935690008]], [[0.23429855860883375]], [[-0.030135308865994137]], [[0.10288285285910614]], [[0.6359968676576739]], [[0.5054069969707997]], [[0.7960922565571735]], [[-0.16330455746975048]], [[-0.42709003882439167]]]]
[[[[0.5049331535542534]], [[-0.3149479561349524]], [[0.8787279271456259]], [[-0.9800080064220926]], [[-0.5792908638188152]], [[-0.5938127529004145]], [[0.019317027758413374]], [[0.7108328453598307]], [[-0.7111317011793474]], [[-0.8948922722109567]]]]
[[[[0.18728351194949955]], [[-0.7011205974593175]], [[0.5165085143671013]], [[-0.6086275690072998]], [[0.8523539736082997]], [[-0.6314920135396287]], [[0.45027807629757977]], [[0.8041539352471514]], [[0.6321024016919958]], [[0.06814179712984325]]]]
[[[[-0.4826931798829761]], [[0.5868282004740455]], [[-0.05837888397869673]], [[0.3851027222991992]], [[-0.8242173101360157]], [[-0.9424036615272737]], [[0.854013863072066]], [[-0.4418961633201961]], [[0.1933123918356432]], [[0.14495303310342633]]]]
[[[[0.37457084289693965]], [[0.7438398229933518]], [[0.03777868934330675]], [[0.7392219241960127]], [[-0.4878987101798229]], [[0.20219848378821892]], [[-0.1854468712837365]], [[-0.9780805269511774]], [[0.18130866189388573]], [[0.48684242143548717]]]]
[[[[-0.22438793963616055]], [[-0.9057112590615413]], [[-0.8146486129632173]], [[-0.03078686242028894]], [[-0.6744355924673491]], [[0.8892335686050814]], [[-0.6331147441869776]], [[-0.7452951852646039]], [[-0.37466807889932774]], [[0.6022204910069293]]]]
[[[[-0.5310360001169052]], [[-0.6036695288862197]], [[-0.7914922875745038]], [[0.3033351715474635]], [[0.8767462531917523]], [[0.574282747619647]], [[-0.8325813275976117]], [[-0.9124545999607419]], [[-0.30876091484728185]], [[-0.23968089292060446]]]]
[[[[-0.833906242680251]], [[-0.5077749568179521]], [[-0.13092789006656602]], [[0.8183855166799905]], [[0.20646393493064963]], [[0.5604007102508832]], [[-0.7439501470740622]], [[0.6486802708330928]], [[0.9523880621926855]], [[-0.8925566322915859]]]]
[[[[0.24534289701598455]], [[0.4851576029187912]], [[0.24407625465539384]], [[-0.30360288921918754]], [[0.1281165652340981]], [[0.053840747477409634]], [[-0.9292603065780234]], [[-0.15117542116863025]], [[-0.4080356832093328]], [[-0.5747742316891558]]]]
[[[[-0.9658092975205022]], [[0.684757792411292]], [[0.12571863469288602]], [[-0.6095750753215403]], [[-0.9443022179334446]], [[-0.2127192882966813]], [[0.24496257219688067]], [[0.6585372795573174]], [[-0.6597165609986309]], [[-0.32167147290219567]]]]
[[[[0.7807810809966305]], [[-0.9922858657256306]], [[0.7387379234077849]], [[0.6706135583238655]], [[0.856431853302503]], [[0.12724112334410465]], [[-0.6483286535537265]], [[0.4319065285395287]], [[-0.8485126459439836]], [[-0.05753724620463041]]]]
[[[[0.3885433907227114]], [[0.8324709613480974]], [[0.8579153479265271]], [[-0.9637993199751262]], [[0.4902474618821062]], [[-0.005744106620004352]], [[0.2538790649708862]], [[-0.8852910374227656]], [[-0.9471565444102685]], [[0.22032559984176636]]]]
[[[[0.22520667449791953]], [[-0.24971673870808764]], [[0.5511978749032584]], [[-0.7610447065054005]], [[0.3048071125997709]], [[-0.2503823564914376]], [[0.3780301556893293]], [[-0.9464775357481245]], [[0.33621289754319617]], [[-0.7704132776884935]]]]
[[[[-0.2825782172762661]], [[0.03307286062493264]], [[-0.032378599461159396]], [[-0.21167120275057227]], [[0.6706158376851143]], [[-0.7825767806112571]], [[-0.26650318749008983]], [[0.8432498313408918]], [[0.7821818636358844]], [[-0.7734997864056348]]]]
[[[[-0.5709802574848026]], [[0.8439723329406157]], [[-0.33383451905991457]], [[-0.735443624136418]], [[0.5444828439935945]], [[-0.22794592550342507]], [[0.637094734008409]], [[-0.46945565899616826]], [[0.8368048381569131]], [[-0.024950787255837215]]]]
[[[[0.45972771439472426]], [[0.26995861942123245]], [[-0.08052011539972326]], [[-0.6971652084591513]], [[-0.1221890049367147]], [[0.07853186969612835]], [[-0.025842273095078694]], [[-0.2151869702127267]], [[0.6446052173448247]], [[-0.03527756496749368]]]]
[[[[-0.46733527559793653]], [[0.5810979098132321]], [[0.18898002005769654]], [[0.2916984997919796]], [[-0.2786872180547997]], [[0.06939504366127114]], [[-0.11232365950473389]], [[-0.9522731480034716]], [[-0.2574362109299162]], [[-0.16876965248115772]]]]
[[[[-0.2946664200775593]], [[-0.3254675679538779]], [[-0.40241076765986183]], [[0.23988802348388427]], [[-0.2955688188237122]], [[-0.8076489843891541]], [[0.8001276873549403]], [[0.7786915855386753]], [[-0.15586733879436232]], [[0.07667261861164221]]]]
[[[[0.7656372725668841]], [[-0.11932903669738582]], [[-0.8058375427584761]], [[-0.5557148659640032]], [[0.38442302536819417]], [[0.10953488255193289]], [[-0.37637888443875456]], [[0.6177575962861175]], [[-0.30299567824367957]], [[0.875985268519214]]]]
[[[[-0.9417037760588312]], [[-0.8456321019119004]], [[-0.2935991444071302]], [[-0.5125439057783916]], [[0.05267962315860375]], [[0.12612456363851998]], [[-0.5682591231625826]], [[0.9803712435026708]], [[0.8972723318336693]], [[0.8885151289333759]]]]
[[[[-0.06297116366348754]], [[0.32431449399217205]], [[0.7303402596922379]], [[-0.43756118620770823]], [[0.18676643625638656]], [[-0.577638946757496]], [[0.05840252525866352]], [[0.9574409495088712]], [[0.9298131150464422]], [[-0.7288073249138649]]]]
[[[[-0.12508408532589077]], [[-0.8793575332066768]], [[-0.7253378375001713]], [[0.5284025173197007]], [[0.8059087430706071]], [[0.9507549881404163]], [[-0.6598306865456993]], [[0.9533629304424609]], [[0.5232190261666929]], [[0.5836215577389818]]]]
[[[[-0.9093764318154205]], [[-0.5604844166958107]], [[0.6271143465109466]], [[-0.3061096653163251]], [[-0.2377244771393494]], [[-0.39730871829547443]], [[-0.8050601642702311]], [[-0.916702490291651]], [[0.939774942618522]], [[0.06254637388989814]]]]
[[[[0.6232063339217428]], [[0.1868382955401129]], [[-0.38089155789338003]], [[0.2972019116274387]], [[0.7640993358416195]], [[-0.15367033958594067]], [[0.8049336355728469]], [[0.7663490477792547]], [[0.2944947195146834]], [[-0.3070808926653421]]]]
[[[[-0.6243365667497152]], [[0.674179424067864]], [[-0.181565696488994]], [[0.31957257113707027]], [[0.8227379286519287]], [[-0.53035765577]], [[0.24825767693246825]], [[0.039168622314699864]], [[-0.14153912785132694]], [[0.08122691109100377]]]]
[[[[0.5449899414686139]], [[-0.1900439195498429]], [[-0.9566572087457657]], [[0.7637995853575257]], [[-0.6334539400099952]], [[-0.6530101595498397]], [[0.8995803144865908]], [[-0.1136919144046784]], [[-0.25279459756273637]], [[0.3405530006621851]]]]
[[[[0.3113018890034358]], [[-0.47038604190061606]], [[0.15183674555193272]], [[0.2696613903937979]], [[-0.2696407710801958]], [[0.5349290892101324]], [[-0.1987443068837964]], [[-0.1555187292504998]], [[0.5530050544481475]], [[-0.628038576555358]]]]
[[[[0.12770916116123843]], [[-0.7855572837205635]], [[0.7421349321604016]], [[0.09601045116965978]], [[0.05126992809832487]], [[0.7845877385445101]], [[0.04438292318233117]], [[-0.6316391236349113]], [[-0.6151039433049177]], [[-0.8408240052557363]]]]
[[[[0.45880645693827415]], [[0.3946436768819068]], [[0.24157412880296492]], [[-0.8259408361680822]], [[0.8464973671624898]], [[-0.7027142702794087]], [[0.4977763083598832]], [[0.8292831236651828]], [[-0.6322388382897961]], [[-0.2911406871635278]]]]
[[[[0.5510631477332979]], [[-0.9002583212175337]], [[0.6743448859406036]], [[0.8369770111458976]], [[-0.544335821232794]], [[-0.9061349055628023]], [[-0.6777034835684128]], [[0.10927970462576209]], [[-0.8469258680022711]], [[0.8167852796062489]]]]
[[[[-0.9733870556130266]], [[0.7080004855297135]], [[0.016372465969972216]], [[0.43337882202161104]], [[0.2874510460089801]], [[0.968182643513142]], [[-0.5639554192364129]], [[0.5454121901509916]], [[-0.56688335162815]], [[0.5433500730650893]]]]
[[[[0.9016500929091869]], [[0.8819025250200678]], [[-0.5020131651123223]], [[0.9280349281874021]], [[0.974243571880105]], [[-0.36105519066897274]], [[-0.041841854974339565]], [[-0.33015085256621246]], [[0.8130481378080259]], [[-0.36379163358654076]]]]
[[[[0.7443494595437816]], [[-0.3306893654405756]], [[0.2562550900287064]], [[-0.7414781898050835]], [[0.26847966732166295]], [[0.4298133463831517]], [[-0.21345113983824704]], [[0.7978639850133247]], [[0.2106371243353169]], [[-0.4914350529613585]]]]
[[[[-0.5177331343099623]], [[0.5542226499915859]], [[-0.4958326639312851]], [[-0.962532583577852]], [[0.046412775791562444]], [[-0.4255814621432692]], [[-0.6611748891946374]], [[0.9069519603070888]], [[-0.6969920522465016]], [[0.03969686901425207]]]]
[[[[-0.16457699686318739]], [[0.27779281828633473]], [[-0.8360892864972409]], [[0.4095833857433555]], [[-0.43336123757952016]], [[-0.9751415729673929]], [[-0.574037450958764]], [[0.8392523790444462]], [[-0.09419285785999887]], [[-0.5061864365899804]]]]
[[[[0.5347526766712063]], [[-0.43032386589586924]], [[0.06339421664049616]], [[-0.618622582090198]], [[0.24981774818855085]], [[0.9951123798596386]], [[-0.4744059406498895]], [[0.02022267117697729]], [[-0.3458703023375973]], [[-0.3219286345742063]]]]
[[[[0.9128263351409098]], [[0.5022956387744593]], [[0.5302425840954301]], [[-0.6413977225716598]], [[0.030938280013078856]], [[0.4015564376791887]], [[-0.9655580358627245]], [[0.3361038572769697]], [[-0.5327568379566547]], [[-0.6458804973753953]]]]
[[[[-0.999304126984143]], [[-0.7659072800168003]], [[-0.8716130277228795]], [[-0.6588387222307641]], [[0.8943040900821118]], [[-0.43786495897138034]], [[0.48757780934024986]], [[0.4514346307904429]], [[0.17517602565361945]], [[0.5762892751764375]]]]
[[[[0.33565254977064085]], [[0.04076986159262219]], [[-0.747471937745477]], [[-0.9304698762098331]], [[0.040517709550890846]], [[-0.15140512381922155]], [[0.6171507153248186]], [[-0.1386581877874078]], [[0.8987721364436736]], [[0.08113386445453408]]]]
[[[[0.19455629701844712]], [[-0.9957667356002076]], [[0.24102490946361743]], [[-0.4384741690906657]], [[0.966282228191333]], [[0.041273802415995764]], [[-0.8282329408982929]], [[0.28549817857046356]], [[-0.20691391376523116]], [[0.9952712151160776]]]]
[[[[0.48815272316744673]], [[-0.18632269662626344]], [[-0.46395264025233396]], [[0.3359663157284223]], [[0.43691132734249893]], [[-0.3833517610269257]], [[-0.9852487373886494]], [[-0.9552444941057447]], [[0.46678840917804276]], [[0.8545966216175047]]]]
[[[[0.6932040245251572]], [[-0.0015860367317097612]], [[-0.02362149647114431]], [[-0.7715876749669104]], [[-0.6631844486792113]], [[0.2338808299385553]], [[0.039234418490011524]], [[-0.2674915457207787]], [[0.9061107093083047]], [[0.9582822982867067]]]]
[[[[0.5770716953566846]], [[-0.7604502658590706]], [[0.13588576186625945]], [[0.49290651400012697]], [[0.5797582333992028]], [[-0.9123660576674415]], [[-0.9830643246026514]], [[0.9690132245286809]], [[0.22143864481513775]], [[-0.6031797416907878]]]]
[[[[-0.5616556612045711]], [[0.7044296758198065]], [[0.6283624539200752]], [[-0.9464093792679187]], [[0.07253739009490645]], [[-0.5486544861421165]], [[-0.5722211252588703]], [[-0.3302446627624498]], [[-0.15500111308704967]], [[-0.6945047805713556]]]]
[[[[0.6648816769366532]], [[-0.31561780575862897]], [[0.4294343002243972]], [[0.692040906846489]], [[0.9799419945318106]], [[0.5001963861015677]], [[0.9424499125718304]], [[0.7582635691231514]], [[0.46578258709053455]], [[0.5095883322466728]]]]
[[[[0.9263633132593991]], [[0.12306599081983083]], [[0.445549278375988]], [[0.941877007730529]], [[0.3385884877281238]], [[0.46044993107151067]], [[0.9010331603895583]], [[0.3305000879304485]], [[0.4433258121123125]], [[-0.37800586281363]]]]
[[[[-0.4818539924950842]], [[0.8272041457739934]], [[-0.8854004653682961]], [[0.2887984794985201]], [[0.5187771223663808]], [[-0.46266544861174475]], [[-0.0035430133928222585]], [[-0.9704001672379201]], [[-0.5969647050976421]], [[-0.7362572012119835]]]]
[[[[-0.9713153358737701]], [[-0.5031059612941744]], [[0.25841663105060797]], [[-0.32858265547564436]], [[0.9531321368675236]], [[0.7010022328643861]], [[0.7643640513433387]], [[-0.16013409624694397]], [[0.5721933603364873]], [[0.3295106675929633]]]]
[[[[0.10252884758072467]], [[-0.9084195325587345]], [[-0.8728906607696438]], [[-0.7279768251330014]], [[0.48106149667048537]], [[0.5113250633874162]], [[-0.6492390083233555]], [[-0.022326649956954325]], [[0.4875773244862005]], [[0.49270203947740976]]]]
[[[[-0.9243003517413875]], [[0.5822414387323038]], [[-0.5880033641452618]], [[-0.3969596219550011]], [[-0.49855013417677685]], [[0.38921579108257354]], [[-0.6767244204481371]], [[0.7174275220325288]], [[-0.10366960578468731]], [[0.7507945901722128]]]]
[[[[0.22385197637932408]], [[-0.22665171040934728]], [[-0.8413836897216491]], [[0.9418996781371678]], [[-0.9288593849395745]], [[-0.23196170506467695]], [[-0.7199938841231448]], [[0.6861842681712544]], [[0.7178639375268387]], [[0.39271786510015194]]]]
[[[[-0.008558147954730977]], [[-0.22577106249710677]], [[-0.17130113043888406]], [[0.7406980052011078]], [[-0.7225171378297499]], [[-0.37579231689380954]], [[0.9309538297745865]], [[0.8981619491670894]], [[-0.3348782239349479]], [[-0.6480382832584333]]]]
[[[[-0.08806912194786021]], [[0.05671757463244487]], [[-0.0934649224990749]], [[-0.8425719958833309]], [[-0.06869495708426698]], [[-0.26585753027858794]], [[0.6165081871177969]], [[0.2678542763949838]], [[-0.6778228854767137]], [[-0.5086797499539613]]]]
[[[[0.5625978681594359]], [[0.6250945158694443]], [[0.938291255921436]], [[-0.7951314652653376]], [[0.7338470072891066]], [[-0.22239207758355506]], [[-0.6250551012600007]], [[-0.9389727823386451]], [[0.798516388968626]], [[-0.38500549534389195]]]]
[[[[0.8737039579091408]], [[0.21077485156806874]], [[0.3813878458508839]], [[0.9126612988833875]], [[0.5588524869786211]], [[-0.6604234806332772]], [[0.16410784069707174]], [[-0.3145542047938208]], [[0.09142106236845993]], [[0.4219114198874716]]]]
[[[[0.8091863109815929]], [[-0.5673911361635489]], [[-0.04988155149841411]], [[0.6475155840922129]], [[0.5477257158251354]], [[0.8151197089895219]], [[-0.6990331506259595]], [[0.25691428066751354]], [[-0.5096953549499079]], [[0.39940138172351136]]]]
[[[[0.37169582859834005]], [[-0.4670777765497067]], [[0.7256193798937596]], [[0.21531776757544097]], [[0.7133171453140101]], [[0.25728036789126274]], [[-0.08474206284008035]], [[-0.7598184562052097]], [[-0.7766703222311704]], [[0.16696680870610292]]]]
[[[[0.5769007043868244]], [[0.28463819702512505]], [[0.5857972507184956]], [[0.6653771221975182]], [[-0.3181578925183073]], [[-0.3417096188606725]], [[0.602683256768699]], [[0.03549065799064888]], [[0.7528956453843678]], [[-0.9059166913591528]]]]
[[[[0.9037918837630778]], [[-0.02994286214535502]], [[0.14045771268351204]], [[0.507930873964562]], [[0.7481315437140226]], [[0.5262769316725766]], [[0.12948088232430321]], [[-0.07560897138789513]], [[-0.3300672762332184]], [[-0.12733334239479843]]]]
[[[[0.4486641126728248]], [[-0.34743102717658214]], [[-0.3905790337516637]], [[-0.595364322941156]], [[-0.35123821937288247]], [[0.007620119244939438]], [[0.8356151761829875]], [[0.7384411702338778]], [[-0.08090824005821884]], [[-0.6380190116191766]]]]
[[[[0.08959513898443183]], [[0.021081666953716605]], [[-0.04339896348548122]], [[0.14552325829176582]], [[-0.31300173605768067]], [[0.28286478484910904]], [[-0.8841785441178298]], [[0.7311668162449985]], [[-0.2006110989935017]], [[-0.030134115701475395]]]]
[[[[0.4765407584591699]], [[-0.9770432529889421]], [[-0.9610766422161214]], [[0.9111867450147006]], [[0.4030632019043041]], [[0.9824611389736859]], [[0.2454301151250231]], [[0.3781360305194572]], [[0.394927727958446]], [[0.2675707076664813]]]]
[[[[-0.573418424642268]], [[-0.744459108644165]], [[0.3157058163793105]], [[0.9887714483834591]], [[-0.20143544655248946]], [[0.4663600673284034]], [[-0.8542979358382923]], [[0.8809816120510146]], [[0.6404005988960817]], [[-0.07655406993226754]]]]
[[[[-0.5615920018502667]], [[-0.42842327486849574]], [[-0.3091650621891726]], [[-0.08674952105912492]], [[0.9453773138404866]], [[0.3980686477342701]], [[0.7740522803022478]], [[-0.6571352828567509]], [[-0.4259426899327867]], [[0.5169183866081086]]]]
[[[[0.40539007964346085]], [[-0.66088949075526]], [[-0.030803174378272624]], [[-0.13022770233722514]], [[0.38693328942782834]], [[-0.3568456834337137]], [[0.7164120778868039]], [[0.4630235448783655]], [[0.6941511596566188]], [[0.7847138139116396]]]]
[[[[0.6069169023209815]], [[0.97028333881002]], [[0.47021623138674795]], [[-0.3050385713678201]], [[0.1935728002466326]], [[-0.5658887528165173]], [[0.41294833838419964]], [[0.5798676805814369]], [[-0.9749547724279974]], [[-0.9363708144625145]]]]
[[[[0.8942204292030205]], [[-0.2181689528057429]], [[0.6192136923659524]], [[-0.3214455261995075]], [[-0.364576687527582]], [[0.29165574859450527]], [[-0.7240356306738331]], [[-0.06689296577737536]], [[0.5143977252611716]], [[-0.574796715404982]]]]
[[[[0.8415558048153724]], [[-0.15190842266690785]], [[0.06559789745106426]], [[-0.04727077772955002]], [[0.13677695247278732]], [[-0.4676710305499001]], [[-0.001325491833118031]], [[0.847635449134087]], [[-0.8403917967997141]], [[-0.7008680973670003]]]]
[[[[-0.8417947057969868]], [[0.8831980057258972]], [[0.07770294271202016]], [[-0.9813872842642046]], [[0.5119071766885939]], [[0.37618226612469297]], [[0.4282467730858124]], [[0.34263399475596756]], [[-0.5496711150996285]], [[0.7909006998217312]]]]
[[[[-0.4395186640197326]], [[-0.3504692871454338]], [[-0.7142140602273832]], [[-0.2692609691836887]], [[0.556552713791441]], [[-0.43698730140034314]], [[-0.4728647582954737]], [[-0.3867828125573063]], [[-0.20281286441983104]], [[-0.6837082873785714]]]]
[[[[0.6256737189921588]], [[0.6505087481968541]], [[0.9471133237567397]], [[0.7227321963437203]], [[-0.19809714918321797]], [[-0.49479825371057795]], [[0.8566222017256615]], [[-0.05286865065459345]], [[-0.2774675598681131]], [[-0.291132519937944]]]]
[[[[0.3356359748159232]], [[0.6741770705973402]], [[0.8988394646351718]], [[-0.9125997625966946]], [[-0.3184127929651024]], [[0.8973087375857836]], [[-0.15776888202552497]], [[0.22333500098712422]], [[0.7513435077487312]], [[-0.5185348267767107]]]]
[[[[0.7618767023464434]], [[0.6490322385388552]], [[-0.01650456672959466]], [[-0.0700864675890811]], [[-0.21963100070653452]], [[-0.3350882243634423]], [[0.6115770148625268]], [[-0.7067655344460337]], [[-0.17443586585876325]], [[0.8743614376934381]]]]
[[[[-0.7230320740033427]], [[0.2806360030191273]], [[-0.32853760612384364]], [[-0.6857266140083462]], [[0.9713639471066648]], [[0.324207451258141]], [[-0.8106109131085797]], [[0.39589646050333216]], [[0.12161113864869666]], [[0.8644462429732096]]]]
[[[[-0.5951864996666112]], [[-0.5498891338375864]], [[-0.5134442463493565]], [[0.01954075040088199]], [[0.8306173834443564]], [[0.1264335609597278]], [[0.9934666890943666]], [[-0.5072535828889151]], [[0.04313105216643032]], [[-0.06013249750318339]]]]
[[[[0.1226446655721194]], [[0.3619893592058334]], [[-0.5650205986542769]], [[0.6107177034199156]], [[-0.8720010949837034]], [[0.5988965621106859]], [[0.3349553602522115]], [[-0.8439215370815301]], [[-0.11191337237773702]], [[0.31731097821301013]]]]
[[[[-0.5055599517675695]], [[-0.5751069752421238]], [[-0.3029150255574016]], [[0.5584732295573211]], [[0.5545050953594655]], [[-0.6394948960309386]], [[-0.6373727017631035]], [[0.6971345343617836]], [[0.40312506682070626]], [[0.8983179822055036]]]]
