[[[[0.8770073595139753]], [[-0.048482419819973144]], [[0.5493245505808702]], [[0.15809414908523167]], [[0.5624845101376097]], [[-0.5979211170783232]], [[-0.7372401118921499]], [[-0.2531707462161652]], [[-0.7775866452822173]], [[0.4353189829087356]]]]
[[[[-0.31930818750535983]], [[-0.18627450230446874]], [[0.8510957258950531]], [[0.3038296004015604]], [[-0.12060116490404238]], [[-0.843272509319057]], [[0.32399613450479237]], [[-0.87573890128505]], [[0.4256154602151412]], [[-0.9729302010060525]]]]
[[[[-0.041485036309025336]], [[0.11292173074497258]], [[0.16092689950545203]], [[-0.07146528604594238]], [[-0.18504436923190237]], [[0.006993352072744319]], [[-0.504950347417856]], [[-0.9885477713042068]], [[0.3981036003083511]], [[-0.359844775382256]]]]
[[[[0.09156627785093807]], [[-0.8983318539418952]], [[0.25115354871781603]], [[0.736021076750484]], [[-0.6223645182880435]], [[-0.12585896530965668]], [[-0.09692916590672263]], [[-0.3205437860986742]], [[-0.5117625762165898]], [[-0.09854337533060287]]]]
[[[[-0.24636788326271963]], [[-0.652726669690779]], [[-0.31963114328650555]], [[0.25733768441973703]], [[-0.3511774676471622]], [[-0.3022906896378095]], [[-0.9358778677501813]], [[0.9219717798982212]], [[0.17409415297654118]], [[0.8421615980585955]]]]
[[[[0.5368036084598538]], [[-0.018129883690932935]], [[-0.07551987749975342]], [[0.0358561031063962]], [[-0.8364164075273037]], [[0.2707209122968879]], [[0.9843108223445296]], [[-0.6682845099047816]], [[0.5750856927918777]], [[-0.22957492647505107]]]]
[[[[0.5084879695200535]], [[0.11761492214491032]], [[-0.5118605726606051]], [[0.48002244536626537]], [[0.6694084769578887]], [[0.7954622835045237]], [[0.6480080585420995]], [[-0.12540009072387193]], [[0.7689156442340959]], [[-0.8189457184625082]]]]
[[[[-0.14829834079369686]], [[0.6832080148929196]], [[0.2558404577272535]], [[-0.4732019166171668]], [[0.484866425716032]], [[-0.3037764617023484]], [[-0.6257579886458493]], [[-0.9605967712263053]], [[-0.023026962732477507]], [[0.9735950675128808]]]]
[[[[-0.853580029566567]], [[0.7361600118775216]], [[0.9208186293377048]], [[-0.8748025689141601]], [[0.27696724845928977]], [[0.2581415335979429]], [[-0.30316502940424717]], [[-0.1352929039865327]], [[0.04984237501968214]], [[0.04775131614379213]]]]
[[[[-0.8375695009063318]], [[0.039425389739984995]], [[0.03445860571601789]], [[0.49459176204892974]], [[0.8488121812569511]], [[-0.9521189912083727]], [[0.02121381188359983]], [[-0.5048934064924211]], [[0.4290346361138164]], [[-0.8233529449228665]]]]
[[[[-0.6843221499818879]], [[0.9102513710380806]], [[0.816156834112632]], [[-0.7973178388970061]], [[-0.627594250497576]], [[0.30965211664897385]], [[-0.29792635622366426]], [[-0.10093877988936573]], [[-0.22186946531013252]], [[0.2404372698491286]]]]
[[[[0.051733115614455816]], [[0.10163690952677218]], [[0.30937088883886177]], [[0.8950052625903646]], [[-0.684570891486501]], [[0.5471745317028776]], [[-0.9701008828645044]], [[-0.7831171395953003]], [[-0.18346715780518585]], [[0.7794020155527188]]]]
[[[[-0.7773053490287274]], [[-0.23258021442199683]], [[0.6819756103178116]], [[-0.01849245207277672]], [[0.6173801591035941]], [[-0.2888904702893913]], [[-0.8145755188478543]], [[-0.4279467851713068]], [[-0.5536769056810855]], [[0.9277953405840895]]]]
[[[[0.19466308967120938]], [[-0.8053566285765335]], [[-0.7775740513726199]], [[0.4810247121881843]], [[-0.12345142566950051]], [[0.0214590579887457]], [[-0.902092196892766]], [[-0.07254872924085909]], [[-0.06157797122025621]], [[-0.9819673675555551]]]]
[[[[0.18040575242524293]], [[0.4400304055895192]], [[0.4427305727869735]], [[-0.11343084507358903]], [[0.9698967451508078]], [[-0.3763189729526859]], [[-0.23883793938133313]], [[0.16316185008942585]], [[-0.6199217304400162]], [[0.23945340668852055]]]]
[[[[0.5682574929351851]], [[-0.6201099637893064]], [[0.885550289854176]], [[-0.09108172642673762]], [[0.05885393028261787]], [[0.2945540764648251]], [[-0.9582578336687777]], [[-0.947541373879812]], [[-0.2400569714322418]], [[-0.30579428922107077]]]]
[[[[-0.7602101520025664]], [[-0.8792616445297079]], [[0.8708836862594678]], [[-0.029634440693224295]], [[-0.9082298472765682]], [[0.6832563958986819]], [[0.15655592347404013]], [[-0.0708824235099561]], [[-0.11949077701799471]], [[0.8848564891788087]]]]
[[[[-0.9027814667914793]], [[-0.9194705486635251]], [[-0.44824926979199997]], [[0.6790019655881705]], [[0.5256009535582129]], [[0.20749353699462914]], [[0.6012683582514924]], [[0.4800184232690565]], [[0.7085706893745862]], [[-0.4913351050049837]]]]
[[[[-0.30648912386612204]], [[0.20180133463850658]], [[-0.21694996581296921]], [[0.8155821285718436]], [[-0.13590407268583093]], [[0.16206738241964702]], [[-0.7574476418370875]], [[-0.5302927631944725]], [[0.10060888862392559]], [[-0.1299079705360333]]]]
[[[[-0.5799834624716949]], [[0.355769483604657]], [[-0.3387536533811908]], [[-0.6566181891134626]], [[0.9942840827668904]], [[-0.527175276997186]], [[-0.5676484598021818]], [[-0.7688818091032583]], [[0.6257563302057545]], [[-0.16099545084927014]]]]
[[[[-0.13073517680431546]], [[-0.25934406314343406]], [[-0.7323024972113181]], [[0.6280331177506993]], [[-0.04555597001850309]], [[-0.0501991491152074]], [[0.058300862954222765]], [[0.35675204662074544]], [[-0.7034447068522298]], [[0.6641081483873628]]]]
[[[[0.6619481940604739]], [[0.6450550127992034]], [[0.9680537041425248]], [[-0.25866528211016804]], [[-0.47771156264955184]], [[0.9838359399566237]], [[0.2525027375515938]], [[0.8325147966297026]], [[0.31996834331713875]], [[-0.4252574991896536]]]]
[[[[-0.3650113842296203]], [[-0.19654324379537513]], [[-0.4392784546350563]], [[0.39877425038622194]], [[-0.8999438705554914]], [[-0.619831295994798]], [[0.6702627172336089]], [[0.6766887092319358]], [[-0.10943823258431506]], [[-0.753708047825755]]]]
[[[[-0.09489709491405884]], [[-0.8435093847002988]], [[0.28680289855651186]], [[-0.35877798228627067]], [[0.07187021872552068]], [[0.1363264288965833]], [[-0.9448373822924641]], [[0.7137314462937625]], [[-0.7697137907563023]], [[0.41882277042006755]]]]
[[[[-0.12088908799926723]], [[-0.20334741192424888]], [[0.13482293483540997]], [[0.31433719437964047]], [[0.10945317073625938]], [[-0.45167359040919464]], [[0.41993559024353844]], [[0.6757163945555331]], [[0.837410799470828]], [[-0.9337761604623844]]]]
[[[[0.5188298141090331]], [[0.6362423257417082]], [[0.4399550020605574]], [[-0.8054967785990974]], [[0.9117913371969277]], [[0.5562134677881219]], [[0.35939769196659177]], [[-0.500743986517681]], [[0.4019539868386488]], [[-0.06850958286600406]]]]
[[[[-0.4788795710365188]], [[0.7353774338884733]], [[0.7262605893169038]], [[-0.5205254501751595]], [[0.26479902670956856]], [[-0.03692698907464176]], [[0.13797602173849088]], [[0.2205202322042119]], [[0.4163734948648581]], [[0.983218119267312]]]]
[[[[-0.9045003295690346]], [[-0.8577586492447626]], [[0.046367024284192704]], [[-0.3352141187273765]], [[-0.6839002651060644]], [[-0.918789172574036]], [[-0.11191578269587699]], [[0.5401180112555026]], [[0.5771966975517473]], [[-0.9998922246293214]]]]
[[[[-0.6245094839992773]], [[0.5256498552037092]], [[-0.7426525008262339]], [[0.47654221440044275]], [[-0.05122688316455348]], [[-0.6467277544540277]], [[0.45168794914269084]], [[-0.18895971336991924]], [[0.022885217595003393]], [[0.17002688663954912]]]]
[[[[0.4247300019952711]], [[0.5510976570181794]], [[0.3552204300780146]], [[0.30703085415598563]], [[0.482954600251835]], [[0.386959583829803]], [[0.6299314120884376]], [[-0.6108662405347931]], [[0.20786534590769623]], [[0.14988185205095905]]]]
[[[[-0.013292042987830044]], [[0.8416157801144872]], [[0.7164247039262204]], [[0.9802797013591193]], [[-0.11663306097340831]], [[-0.0035208195112204077]], [[0.9923492934738742]], [[-0.1975909044595039]], [[-0.18553931578812932]], [[-0.892831994134965]]]]
[[[[-0.837680332113655]], [[-0.14950714341926075]], [[0.6277048461164021]], [[-0.8028377880411439]], [[0.547251113065347]], [[-0.4288883895638964]], [[-0.6581694389917321]], [[0.3725209715220803]], [[0.4922804273123007]], [[0.42351311321302854]]]]
[[[[-0.3122779280312309]], [[0.25932253456602217]], [[-0.04907489292294387]], [[-0.9130898250340149]], [[0.5944571180143936]], [[-0.03198330030178598]], [[0.9190296704628464]], [[0.41329995022896004]], [[-0.046189162216849766]], [[0.03298810087298376]]]]
[[[[-0.748848224065999]], [[-0.318691144718094]], [[-0.6760333823764693]], [[0.4006199358249014]], [[0.5534325014390151]], [[0.056680859282731255]], [[0.6336030786618363]], [[-0.017094720347883507]], [[0.49750124602605883]], [[0.7582273128814887]]]]
[[[[0.053332120095618274]], [[-0.5169070653363352]], [[-0.5760133949471491]], [[-0.31870883941194106]], [[0.4198327262568615]], [[0.250123929570933]], [[-0.19186757391843967]], [[-0.4607975764404899]], [[-0.8504539394443416]], [[-0.924585693402248]]]]
[[[[-0.24008376111209695]], [[0.31541253578658957]], [[0.21722135406857945]], [[-0.023852731705912067]], [[0.5791271451274356]], [[-0.6766258236782985]], [[-0.05540173657482028]], [[0.9962285282425998]], [[0.016801056284921234]], [[0.02744876337847879]]]]
[[[[-0.7779289864170702]], [[0.8847459763936394]], [[-0.4888763385536039]], [[0.048283090823072694]], [[0.3827396336980058]], [[-0.040586274255982824]], [[0.006356094135465895]], [[-0.12526659431235432]], [[-0.754507534478829]], [[-0.09409927776106497]]]]
[[[[0.44203470719881377]], [[-0.8173047582970452]], [[-0.11465572071760421]], [[0.06463010415043424]], [[-0.10717486473600868]], [[-0.42076662254323893]], [[-0.4297544753752067]], [[0.247146629738771]], [[0.8503570629701438]], [[0.28280752554713673]]]]
[[[[0.5348560649528404]], [[-0.522175430981892]], [[-0.4852634833182514]], [[-0.40670269940658677]], [[0.24809649820984592]], [[-0.9845736611721809]], [[-0.9751543822379913]], [[0.7025096355267872]], [[0.34308220710863035]], [[0.9860855340978578]]]]
[[[[0.4639227141915443]], [[0.668523673391282]], [[-0.9847929408514309]], [[0.5825113833884403]], [[-0.43837587638436704]], [[0.28267662881981037]], [[0.6880641620530163]], [[0.13445394964197366]], [[0.20778962967011227]], [[0.4579663110200245]]]]
[[[[0.359195840432619]], [[-0.07104283967796787]], [[0.9591441925130979]], [[-0.23631051244928902]], [[0.5990799050438707]], [[-0.6099804234456017]], [[-0.6467961233427917]], [[-0.1971491187068568]], [[0.2643063714571956]], [[-0.11099683416206707]]]]
[[[[-0.13274257659017796]], [[-0.577995742085754]], [[0.8691655244637806]], [[0.47865196998052917]], [[0.3326171818687773]], [[0.8312079398655636]], [[0.580705010589954]], [[-0.5002744781698119]], [[-0.3865821738349111]], [[0.2681461905802942]]]]
[[[[0.4423560617313609]], [[-0.3450843650762463]], [[0.7166975668014981]], [[0.8428640803694478]], [[0.8577253448527382]], [[-0.761387781495104]], [[-0.36666769528255294]], [[-0.7850801232995699]], [[0.2705750568118386]], [[-0.8090372113229636]]]]
[[[[-0.6903616559966697]], [[-0.15918855349633354]], [[-0.4827685316508068]], [[-0.728540144149459]], [[-0.7617234056881852]], [[-0.3746483959095319]], [[-0.13742310077296094]], [[-0.10633414666353791]], [[0.8973964573907334]], [[-0.3890278147602717]]]]
[[[[0.13321329411855798]], [[-0.0038721722948911186]], [[0.8615264149104667]], [[0.6251238250462996]], [[0.1343929444124614]], [[-0.12443553525216577]], [[0.7673569420595818]], [[0.395427725018793]], [[-0.9267991912718527]], [[0.6767057185739005]]]]
[[[[0.676492904300052]], [[0.12573525157924648]], [[0.704354534604309]], [[-0.8045863112198808]], [[0.013129677753512814]], [[-0.18521835785801843]], [[-0.09464369743364265]], [[-0.6534858465488027]], [[0.257606824077647]], [[-0.5381246159812014]]]]
[[[[-0.7824184814046353]], [[0.1687504819589336]], [[0.8329308637110522]], [[-0.20697873453850058]], [[-0.3285568937433778]], [[0.7683772337000234]], [[-0.6092657144224896]], [[0.4429165043612242]], [[0.22971837794570482]], [[-0.23607574367077122]]]]
[[[[0.521853380058271]], [[0.27596141794313667]], [[0.1270001432816963]], [[-0.5862724962053916]], [[-0.42889584196347585]], [[0.035480251182567146]], [[0.7387689883244568]], [[-0.21424982471417553]], [[-0.5546247651330627]], [[-0.8545977239794278]]]]
[[[[-0.020516527832569187]], [[0.8679232131664922]], [[-0.5877293925188212]], [[0.733344723699243]], [[-0.6894380192904044]], [[-0.7883203698908119]], [[0.20843038831956906]], [[0.5255967032145086]], [[0.7638068817042645]], [[-0.8498552160020985]]]]
[[[[-0.15781145330098534]], [[0.03615130754520135]], [[-0.14152886347974447]], [[-0.0040426263162165466]], [[-0.2964032043915168]], [[-0.07174235634965753]], [[-0.576604040166208]], [[-0.7402715478547746]], [[-0.16686195016887173]], [[0.6418766752235361]]]]
[[[[0.8523149464074622]], [[-0.9364258209186476]], [[-0.9798563353734948]], [[0.46135842723342235]], [[0.2506969124318563]], [[-0.23090630029807802]], [[-0.6797361916545954]], [[0.4682416926083979]], [[-0.4743213516876381]], [[0.8394342104354426]]]]
[[[[-0.1950834597936244]], [[0.4600848406111602]], [[0.5211031836780018]], [[-0.9744225772247532]], [[-0.8766974968473384]], [[-0.6273508708328901]], [[0.9105520591323446]], [[-0.16186346617488412]], [[-0.16424701520072604]], [[0.4447379704305543]]]]
[[[[-0.18219920511640364]], [[0.5993389052022648]], [[0.6786253563389049]], [[-0.1918398965027006]], [[-0.6142733813982415]], [[-0.19725893844019504]], [[-0.4831650011383062]], [[0.4324759644489924]], [[-0.7651848325946995]], [[0.0014814126258526628]]]]
[[[[0.017685783242582076]], [[0.42435717251534544]], [[-0.6508478593456271]], [[0.33226271165609367]], [[-0.44178700420508155]], [[-0.2731564466519081]], [[-0.27960236523851134]], [[-0.9485448100232869]], [[-0.9493703201516284]], [[0.24176031525067243]]]]
